text,label_id,label_text,label
Gift. Christmas,4.0,very positive,4
"Great Card. Great Card, was able to give to my sister for her birthday, she absolutely loved it!",4.0,very positive,4
Five Stars. Great gift,4.0,very positive,4
Five Stars. Trendy and cute,4.0,very positive,4
Arrived quickly-within 48 hours!. An easy way to get a gift for elderly people!,4.0,very positive,4
Great. Great gift to give someone.,4.0,very positive,4
It was super easy to order. The card made it seem classy,4.0,very positive,4
Work for first time reload only. It worked as described.  Just need to know the fine print: for first  time loading only. You get extra 10 dollars for loading 100 into your card.,4.0,very positive,4
"Great, easy gift!!:). I have a teen neighbor, whose birthday was coming and I didn't know what to get her.<br />This ended up being a perfect gift,  as she had been wanting a book on Amazon!! Win, Win!!:)<br />Great idea for upcoming Holidays!!!:)",4.0,very positive,4
Easy & Flexible. Liked the ease & flexibility of using an Amazon gift card reload.,4.0,very positive,4
Great Gift. My grandson was very pleased to receive this gift card.  It gave him a chance to shop and choose for whatever he wanted and it was paid for in advance.,4.0,very positive,4
Great grad gift. Nice gift for graduation. No need to gift wrap and you can select your dollar amount.,4.0,very positive,4
Five Stars. This is a great way to give a Graduation gift card.  It's a very attractive and unique box.,4.0,very positive,4
"Five Stars. Very versatile gift, works at Dangelos as well.",4.0,very positive,4
"It's a $50 gift card. Came exactly as advertised. I checked the balance to make sure it was all there, and it was. Worked perfectly.",4.0,very positive,4
Great. Getting the  money  back.,4.0,very positive,4
Great. Worked great.,4.0,very positive,4
Long wait. Waited too long for reload.,2.0,neutral,2
Anytime you get a Amazon gift card it's a win. Always happy with a gift card,4.0,very positive,4
Awesome combo gift!. We LOVE Happy Socks!  It was the perfect add on to an Amazon Gift Card.,4.0,very positive,4
Five Stars. convenient way to buy gift card,4.0,very positive,4
It’s a gift card lol. Tin is cute,4.0,very positive,4
Gift cards. Cute tin,4.0,very positive,4
Five Stars. Christmas gift,4.0,very positive,4
Five Stars. what was expected. arrived early,4.0,very positive,4
A must have if you shop a lot. Easy to make a purchase without pulling cards out of wallet.,4.0,very positive,4
happy. birthday gift  they loved it,4.0,very positive,4
happy. birthday gift  they loved it,4.0,very positive,4
Five Stars. This is great!,4.0,very positive,4
So easy to use. Freaking champ! So easy to use. Not like itunes,4.0,very positive,4
:-). :-),4.0,very positive,4
Great for gift giving. Exactly what you'd expect. Great for gift giving.,4.0,very positive,4
Five Stars. Great gift,4.0,very positive,4
Love these Multi Use Cards. I love these Multi use cards. Makes it easy for me to give someone a gift and know there will be something they like on them. They work great,4.0,very positive,4
Amazon is on Fire!. Reloading my Card balance was so quick and easy.  A couple of clicks and it's done!  I love Amazon!!,4.0,very positive,4
my bad. Found old reload this might apply to sorry,4.0,very positive,4
Five Stars. BONUS,4.0,very positive,4
"Fast, convenient and Safe. Easier than going to the store and purchasing gift cards to reload my balance.",4.0,very positive,4
Super!. Great way to send gifts!,4.0,very positive,4
Wrong price. Overcharged,0.0,very negative,0
Five Stars. Always a great gift!,4.0,very positive,4
Five Stars. ITs a gift card,4.0,very positive,4
Timely & Easy. Delivery was timely  Card was very easy to use,4.0,very positive,4
Christmas gift card. Our daughter loves to shop on Amazon and she always finds the most amazing items.  We make sure that one of her gifts is an Amazon gift card for her birthday and Christmas.  This way she is sure to love what she gets.,4.0,very positive,4
Fast delivery!. Great to have to give as a gift,4.0,very positive,4
girlfriends birthday. birthday gift,4.0,very positive,4
"Cards are phony, my kids were lucky they had .... Cards are phony, my kids were lucky they had my charge card with them or they would most likely be in jail now!!!",0.0,very negative,0
Five Stars. love it,4.0,very positive,4
Five Stars. great!,4.0,very positive,4
Five Stars. great!,4.0,very positive,4
Five Stars. Great!,4.0,very positive,4
"Best gift for lazy dudes like me. Promptly delivered, secure and easy to use, also re-loadable. Kids get to order whatever they want and everybody is happy.",4.0,very positive,4
Love it. Easy and convenient,4.0,very positive,4
Quality. Kid's loved it,4.0,very positive,4
Easy To Use. Easy To Use i just claim my gift card with extra rewards.,4.0,very positive,4
"Fairly Nice. It is nice to buy a gift card for a present, but it would be nice if the envelopes they seal the cards in did not say Amazon right on them... kind of gives what is inside away.",2.0,neutral,2
Best gift idea. I love these things they’re great for anyone you need to buy a gift for but don’t know what. The best thing about them is that the tin is reusable for other gift cards.,4.0,very positive,4
Nice Tin Giftbox. Perfect gift.,4.0,very positive,4
Nice gift. I gave as a gift. The person loved it.,4.0,very positive,4
Nice gift. I gave as a gift. The person loved it.,4.0,very positive,4
Easy. Easy,4.0,very positive,4
The card was nice. The card was nice,4.0,very positive,4
So unhappy with California Pizza Kitchen. I am so unhappy with this purchase. I ordered fifty dollars of gift cards to California pizza kitchen because this restaurant just came to Reno. I gave it as a gift just to find out when my daughter tried to use the gift card the restaurant in reno says they don’t accept gift cards. So unhappy.,0.0,very negative,0
"Scam. This is a complete scam. There is no gift card, just the card holder. Complete waste of $50!!",0.0,very negative,0
"I love Amazon. I love spending money. I love Amazon. I love spending money. I need help. Kidding, purchased during Prime Day and got $10.00 for free. Comes in a spiffy little box. My wife thought I had bought her jewelry, surprise I bought myself a gift card, love you Amazon!",4.0,very positive,4
"As expected. This was a gift. As expected, it was a hit.",4.0,very positive,4
Satisfied Customer. The card had to be replaced because it showed delivered but I did not get it. The replacement card was received with no problems.,4.0,very positive,4
Satisfied Customer. I did not receive the first order so I had to talk to customer service to get it replaced. Received replacement with no problem.,4.0,very positive,4
Card not active!!!. Card not shipped active!  Wasted $99!!,0.0,very negative,0
"Adorable.. This cupcake holder is adorable it's even cuter in person. My friend loved it as a gift (of course the card itself more!) but it is a nice alternative to a paper gift card holder, makes the gift look a lot classier than throwing it into a card and the tin is so cute and reusable.",4.0,very positive,4
Five Stars. Very good when you do not have enough on your credit card.,4.0,very positive,4
"This card cannot be used for anything other than flights .... This card cannot be used for anything other than flights, I wanted to use it for a hotel since I was scared of using for a flight after what happened but they told me I can't.",0.0,very negative,0
Easy to use. I bought this because I needed a gift card for a purchase and because I was able to make $10 in Amazon store credit for loading $50 .00.,4.0,very positive,4
